"latency","requestType","responseCode","startTime"
"2832","POST","201","1607015371445"
"271","POST","201","1607015374277"
"287","POST","201","1607015374548"
"292","POST","201","1607015374835"
"335","POST","201","1607015375127"
"277","POST","201","1607015375462"
"285","POST","201","1607015375739"
"297","POST","201","1607015376024"
"288","POST","201","1607015376321"
"285","POST","201","1607015376609"
"9231","GET","200","1607015376894"
"1409","GET","200","1607015386125"
"3287","GET","200","1607015387534"
"4502","GET","200","1607015390821"
"1344","GET","200","1607015395323"
"1394","GET","200","1607015396667"
"1621","GET","200","1607015398061"
"1432","GET","200","1607015399682"
"1567","GET","200","1607015401114"
"1720","GET","200","1607015402681"
"2830","POST","201","1607015371445"
"294","POST","201","1607015374275"
"289","POST","201","1607015374569"
"284","POST","201","1607015374858"
"307","POST","201","1607015375142"
"288","POST","201","1607015375449"
"286","POST","201","1607015375737"
"293","POST","201","1607015376023"
"293","POST","201","1607015376316"
"285","POST","201","1607015376609"
"9231","GET","200","1607015376894"
"1249","GET","200","1607015386125"
"6652","GET","200","1607015387374"
"1364","GET","200","1607015394026"
"1489","GET","200","1607015395390"
"1600","GET","200","1607015396879"
"1723","GET","200","1607015398479"
"1630","GET","200","1607015400202"
"2589","GET","200","1607015401832"
"1320","GET","200","1607015404421"
"2830","POST","201","1607015371447"
"300","POST","201","1607015374277"
"282","POST","201","1607015374577"
"284","POST","201","1607015374859"
"323","POST","201","1607015375143"
"293","POST","201","1607015375466"
"291","POST","201","1607015375759"
"283","POST","201","1607015376050"
"294","POST","201","1607015376333"
"283","POST","201","1607015376627"
"9242","GET","200","1607015376910"
"7908","GET","200","1607015386152"
"1423","GET","200","1607015394060"
"1681","GET","200","1607015395483"
"1796","GET","200","1607015397164"
"1563","GET","200","1607015398960"
"2620","GET","200","1607015400523"
"1321","GET","200","1607015403143"
"2549","GET","200","1607015404464"
"1297","GET","200","1607015407013"
"3034","POST","201","1607015371445"
"327","POST","201","1607015374480"
"287","POST","201","1607015374807"
"353","POST","201","1607015375095"
"289","POST","201","1607015375448"
"286","POST","201","1607015375737"
"291","POST","201","1607015376023"
"301","POST","201","1607015376315"
"295","POST","201","1607015376616"
"281","POST","201","1607015376911"
"8968","GET","200","1607015377192"
"9162","GET","200","1607015386160"
"2400","GET","200","1607015395322"
"1511","GET","200","1607015397722"
"2601","GET","200","1607015399233"
"1340","GET","200","1607015401834"
"1371","GET","200","1607015403174"
"1454","GET","200","1607015404546"
"1644","GET","200","1607015406000"
"1308","GET","200","1607015407644"
"2829","POST","201","1607015371446"
"303","POST","201","1607015374275"
"286","POST","201","1607015374578"
"279","POST","201","1607015374864"
"305","POST","201","1607015375143"
"289","POST","201","1607015375448"
"287","POST","201","1607015375737"
"298","POST","201","1607015376024"
"302","POST","201","1607015376322"
"286","POST","201","1607015376624"
"9252","GET","200","1607015376910"
"9081","GET","200","1607015386162"
"1389","GET","200","1607015395243"
"1335","GET","200","1607015396632"
"1412","GET","200","1607015397967"
"1681","GET","200","1607015399379"
"1364","GET","200","1607015401060"
"1429","GET","200","1607015402424"
"1306","GET","200","1607015403853"
"1493","GET","200","1607015405159"
"3031","POST","201","1607015371445"
"331","POST","201","1607015374476"
"287","POST","201","1607015374807"
"354","POST","201","1607015375094"
"289","POST","201","1607015375448"
"286","POST","201","1607015375737"
"290","POST","201","1607015376023"
"303","POST","201","1607015376313"
"295","POST","201","1607015376617"
"279","POST","201","1607015376912"
"8969","GET","200","1607015377191"
"4664","GET","200","1607015386160"
"3194","GET","200","1607015390824"
"1311","GET","200","1607015394018"
"2605","GET","200","1607015395329"
"2589","GET","200","1607015397934"
"3940","GET","200","1607015400523"
"1393","GET","200","1607015404463"
"1494","GET","200","1607015405856"
"1349","GET","200","1607015407350"
"2830","POST","201","1607015371445"
"273","POST","201","1607015374275"
"287","POST","201","1607015374548"
"292","POST","201","1607015374835"
"335","POST","201","1607015375127"
"292","POST","201","1607015375462"
"279","POST","201","1607015375754"
"297","POST","201","1607015376033"
"294","POST","201","1607015376330"
"286","POST","201","1607015376624"
"9250","GET","200","1607015376910"
"9171","GET","200","1607015386160"
"1400","GET","200","1607015395331"
"1550","GET","200","1607015396731"
"1504","GET","200","1607015398281"
"1656","GET","200","1607015399785"
"1681","GET","200","1607015401441"
"1326","GET","200","1607015403122"
"1294","GET","200","1607015404448"
"1331","GET","200","1607015405742"
"3030","POST","201","1607015371446"
"331","POST","201","1607015374476"
"288","POST","201","1607015374807"
"354","POST","201","1607015375095"
"288","POST","201","1607015375449"
"286","POST","201","1607015375737"
"293","POST","201","1607015376023"
"303","POST","201","1607015376316"
"292","POST","201","1607015376619"
"280","POST","201","1607015376911"
"8960","GET","200","1607015377191"
"7869","GET","200","1607015386151"
"2613","GET","200","1607015394020"
"2600","GET","200","1607015396633"
"2599","GET","200","1607015399233"
"3897","GET","200","1607015401832"
"1281","GET","200","1607015405729"
"1299","GET","200","1607015407010"
"1302","GET","200","1607015408309"
"1290","GET","200","1607015409611"
"2831","POST","201","1607015371445"
"293","POST","201","1607015374276"
"289","POST","201","1607015374569"
"285","POST","201","1607015374858"
"318","POST","201","1607015375143"
"277","POST","201","1607015375461"
"285","POST","201","1607015375738"
"298","POST","201","1607015376023"
"306","POST","201","1607015376321"
"284","POST","201","1607015376627"
"9249","GET","200","1607015376911"
"7859","GET","200","1607015386160"
"2617","GET","200","1607015394019"
"1328","GET","200","1607015396636"
"2559","GET","200","1607015397964"
"1373","GET","200","1607015400523"
"1445","GET","200","1607015401896"
"1721","GET","200","1607015403341"
"1360","GET","200","1607015405062"
"1638","GET","200","1607015406422"
"3022","POST","201","1607015371446"
"340","POST","201","1607015374468"
"287","POST","201","1607015374808"
"353","POST","201","1607015375095"
"290","POST","201","1607015375448"
"284","POST","201","1607015375738"
"296","POST","201","1607015376022"
"291","POST","201","1607015376318"
"288","POST","201","1607015376609"
"278","POST","201","1607015376897"
"8973","GET","200","1607015377175"
"1307","GET","200","1607015386148"
"3367","GET","200","1607015387455"
"4501","GET","200","1607015390822"
"2611","GET","200","1607015395323"
"2590","GET","200","1607015397934"
"1360","GET","200","1607015400524"
"1332","GET","200","1607015401884"
"1462","GET","200","1607015403216"
"1676","GET","200","1607015404678"
"2833","POST","201","1607015371445"
"301","POST","201","1607015374278"
"286","POST","201","1607015374579"
"278","POST","201","1607015374865"
"313","POST","201","1607015375143"
"283","POST","201","1607015375456"
"284","POST","201","1607015375739"
"290","POST","201","1607015376023"
"279","POST","201","1607015376313"
"280","POST","201","1607015376592"
"9276","GET","200","1607015376872"
"7933","GET","200","1607015386148"
"2402","GET","200","1607015394081"
"1450","GET","200","1607015396483"
"1348","GET","200","1607015397933"
"1409","GET","200","1607015399281"
"1771","GET","200","1607015400690"
"1457","GET","200","1607015402461"
"1762","GET","200","1607015403918"
"1332","GET","200","1607015405680"
"2830","POST","201","1607015371445"
"300","POST","201","1607015374275"
"283","POST","201","1607015374575"
"284","POST","201","1607015374858"
"313","POST","201","1607015375142"
"299","POST","201","1607015375455"
"279","POST","201","1607015375754"
"290","POST","201","1607015376033"
"287","POST","201","1607015376323"
"285","POST","201","1607015376610"
"9265","GET","200","1607015376895"
"7859","GET","200","1607015386160"
"2649","GET","200","1607015394019"
"2566","GET","200","1607015396668"
"2578","GET","200","1607015399234"
"1329","GET","200","1607015401812"
"4498","GET","200","1607015403141"
"1251","GET","200","1607015407639"
"1239","GET","200","1607015408890"
"1238","GET","200","1607015410129"
"2832","POST","201","1607015371445"
"298","POST","201","1607015374277"
"284","POST","201","1607015374575"
"283","POST","201","1607015374860"
"317","POST","201","1607015375143"
"278","POST","201","1607015375460"
"284","POST","201","1607015375738"
"291","POST","201","1607015376022"
"296","POST","201","1607015376313"
"285","POST","201","1607015376609"
"9266","GET","200","1607015376894"
"7858","GET","200","1607015386160"
"2614","GET","200","1607015394018"
"2602","GET","200","1607015396632"
"1349","GET","200","1607015399234"
"2559","GET","200","1607015400583"
"2630","GET","200","1607015403142"
"1384","GET","200","1607015405772"
"1309","GET","200","1607015407156"
"1371","GET","200","1607015408465"
"1308","GET","200","1607015409836"
"1320","GET","200","1607015411144"
"1390","GET","200","1607015412464"
"1506","GET","200","1607015413854"
"1439","GET","200","1607015415360"
"1326","GET","200","1607015416799"
"1308","GET","200","1607015418125"
"1320","GET","200","1607015419433"
"1402","GET","200","1607015420753"
"1379","GET","200","1607015422155"
"2829","POST","201","1607015371446"
"294","POST","201","1607015374275"
"289","POST","201","1607015374569"
"284","POST","201","1607015374858"
"315","POST","201","1607015375142"
"281","POST","201","1607015375457"
"284","POST","201","1607015375738"
"294","POST","201","1607015376022"
"294","POST","201","1607015376316"
"284","POST","201","1607015376610"
"9268","GET","200","1607015376894"
"7841","GET","200","1607015386162"
"1320","GET","200","1607015394003"
"2612","GET","200","1607015395323"
"1328","GET","200","1607015397935"
"1323","GET","200","1607015399263"
"1434","GET","200","1607015400586"
"1712","GET","200","1607015402020"
"1509","GET","200","1607015403732"
"1740","GET","200","1607015405241"
"1308","GET","200","1607015406981"
"1301","GET","200","1607015408289"
"1310","GET","200","1607015409590"
"1302","GET","200","1607015410900"
"1394","GET","200","1607015412202"
"1448","GET","200","1607015413596"
"1447","GET","200","1607015415044"
"1349","GET","200","1607015416491"
"1310","GET","200","1607015417840"
"1308","GET","200","1607015419150"
